model,noise_label,flip_rate,noisy_accuracy,samples
gpt-4o,ambient_noise,0.17777777777777778,0.3111111111111111,180
gpt-4o,lighting,0.16111111111111112,0.3611111111111111,180
gpt-4o,emotional_pressure,0.15555555555555556,0.34444444444444444,180
gpt-4o,material_color,0.15,0.3055555555555556,180
gpt-4o-mini,material_color,0.18333333333333332,0.38333333333333336,180
gpt-4o-mini,emotional_pressure,0.15555555555555556,0.35555555555555557,180
gpt-4o-mini,ambient_noise,0.12777777777777777,0.43333333333333335,180
gpt-4o-mini,lighting,0.09444444444444444,0.45,180
