model,level,accuracy,formula_rate,coordinate_rate,avg_steps,samples
gpt-4o,L1,0.22333333333333333,0.8533333333333334,0.0,4.1066666666666665,300
gpt-4o,L2,0.2733333333333333,1.0,0.0,9.27,300
gpt-4o,L3,0.4666666666666667,1.0,1.0,6.516666666666667,300
gpt-4o-mini,L1,0.69,0.15666666666666668,0.0,5.906666666666666,300
gpt-4o-mini,L2,0.2733333333333333,0.9833333333333333,0.0,4.866666666666666,300
gpt-4o-mini,L3,0.2733333333333333,0.9866666666666667,0.99,3.84,300
