antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
noise_keyword_present=0 & uses_coordinate=0,noise_keyword_hit=none,0.7225,0.8925,0.7225,1.0,1.1204481792717087,1.0,0.07766875000000006,inf,0.3873873873873877,0.8095238095238096,1.0,0.9047619047619049
noise_keyword_hit=none & uses_coordinate=0,noise_keyword_present=0,0.7225,0.8925,0.7225,1.0,1.1204481792717087,1.0,0.07766875000000006,inf,0.3873873873873877,0.8095238095238096,1.0,0.9047619047619049
noise_keyword_present=0,noise_keyword_hit=none & uses_coordinate=0,0.8925,0.7225,0.7225,0.8095238095238096,1.1204481792717087,1.0,0.07766875000000006,1.4568750000000008,1.0000000000000004,0.8095238095238096,0.313599313599314,0.9047619047619049
noise_keyword_hit=none,noise_keyword_present=0 & uses_coordinate=0,0.8925,0.7225,0.7225,0.8095238095238096,1.1204481792717087,1.0,0.07766875000000006,1.4568750000000008,1.0000000000000004,0.8095238095238096,0.313599313599314,0.9047619047619049
uses_coordinate=0,noise_keyword_hit=none & noise_keyword_present=0,0.8125,0.8925,0.7225,0.8892307692307693,0.9963369963369965,1.0,-0.0026562499999999156,0.9704861111111118,-0.019230769230768628,0.7353689567430025,-0.03041144901609944,0.8493772893772895
is_uncertain=0 & noise_keyword_hit=none & noise_keyword_present=0,uses_coordinate=0,0.8925,0.8125,0.7225,0.8095238095238096,0.9963369963369965,1.0,-0.0026562499999999156,0.9843750000000007,-0.03306878306878203,0.7353689567430025,-0.015873015873015223,0.8493772893772895
noise_keyword_hit=none & noise_keyword_present=0 & uses_coordinate=0,is_uncertain=0,0.7225,1.0,0.7225,1.0,1.0,1.0,0.0,inf,0.0,0.7225,0.0,0.8612500000000001
is_uncertain=0 & noise_keyword_present=0 & uses_coordinate=0,noise_keyword_hit=none,0.7225,0.8925,0.7225,1.0,1.1204481792717087,1.0,0.07766875000000006,inf,0.3873873873873877,0.8095238095238096,1.0,0.9047619047619049
is_uncertain=0 & noise_keyword_hit=none & uses_coordinate=0,noise_keyword_present=0,0.7225,0.8925,0.7225,1.0,1.1204481792717087,1.0,0.07766875000000006,inf,0.3873873873873877,0.8095238095238096,1.0,0.9047619047619049
noise_keyword_hit=none & noise_keyword_present=0,is_uncertain=0 & uses_coordinate=0,0.8925,0.8125,0.7225,0.8095238095238096,0.9963369963369965,1.0,-0.0026562499999999156,0.9843750000000007,-0.03306878306878203,0.7353689567430025,-0.015873015873015223,0.8493772893772895
is_uncertain=0 & noise_keyword_present=0,noise_keyword_hit=none & uses_coordinate=0,0.8925,0.7225,0.7225,0.8095238095238096,1.1204481792717087,1.0,0.07766875000000006,1.4568750000000008,1.0000000000000004,0.8095238095238096,0.313599313599314,0.9047619047619049
noise_keyword_present=0 & uses_coordinate=0,is_uncertain=0 & noise_keyword_hit=none,0.7225,0.8925,0.7225,1.0,1.1204481792717087,1.0,0.07766875000000006,inf,0.3873873873873877,0.8095238095238096,1.0,0.9047619047619049
is_uncertain=0 & noise_keyword_hit=none,noise_keyword_present=0 & uses_coordinate=0,0.8925,0.7225,0.7225,0.8095238095238096,1.1204481792717087,1.0,0.07766875000000006,1.4568750000000008,1.0000000000000004,0.8095238095238096,0.313599313599314,0.9047619047619049
noise_keyword_hit=none & uses_coordinate=0,is_uncertain=0 & noise_keyword_present=0,0.7225,0.8925,0.7225,1.0,1.1204481792717087,1.0,0.07766875000000006,inf,0.3873873873873877,0.8095238095238096,1.0,0.9047619047619049
is_uncertain=0 & uses_coordinate=0,noise_keyword_hit=none & noise_keyword_present=0,0.8125,0.8925,0.7225,0.8892307692307693,0.9963369963369965,1.0,-0.0026562499999999156,0.9704861111111118,-0.019230769230768628,0.7353689567430025,-0.03041144901609944,0.8493772893772895
noise_keyword_present=0,is_uncertain=0 & noise_keyword_hit=none & uses_coordinate=0,0.8925,0.7225,0.7225,0.8095238095238096,1.1204481792717087,1.0,0.07766875000000006,1.4568750000000008,1.0000000000000004,0.8095238095238096,0.313599313599314,0.9047619047619049
noise_keyword_hit=none,is_uncertain=0 & noise_keyword_present=0 & uses_coordinate=0,0.8925,0.7225,0.7225,0.8095238095238096,1.1204481792717087,1.0,0.07766875000000006,1.4568750000000008,1.0000000000000004,0.8095238095238096,0.313599313599314,0.9047619047619049
