strategy,model,noise_label,level_consistency,all_levels_same_rate,groups
constraint_boundary_solver,grok-4,none,0.5555555555555555,0.3333333333333333,15
dimensionless_ratio_design,claude-opus-4-6,ambient_noise,0.5555555555555555,0.3333333333333333,15
dimensionless_ratio_design,claude-opus-4-6,emotional_pressure,0.4444444444444444,0.16666666666666666,12
dimensionless_ratio_design,claude-opus-4-6,lighting,0.5111111111111111,0.26666666666666666,15
dimensionless_ratio_design,claude-opus-4-6,material_color,0.5111111111111111,0.26666666666666666,15
dimensionless_ratio_design,claude-opus-4-6,none,0.6410256410256411,0.46153846153846156,13
dimensionless_ratio_design,claude-sonnet-4-6-thinking,ambient_noise,0.3555555555555555,0.13333333333333333,15
dimensionless_ratio_design,claude-sonnet-4-6-thinking,emotional_pressure,0.5555555555555555,0.3333333333333333,12
dimensionless_ratio_design,claude-sonnet-4-6-thinking,lighting,0.4666666666666667,0.2,15
dimensionless_ratio_design,claude-sonnet-4-6-thinking,material_color,0.4444444444444444,0.2,15
dimensionless_ratio_design,claude-sonnet-4-6-thinking,none,0.6666666666666666,0.5,14
dimensionless_ratio_design,gemini-3-flash-preview,ambient_noise,0.6888888888888889,0.5333333333333333,15
dimensionless_ratio_design,gemini-3-flash-preview,emotional_pressure,0.8666666666666667,0.8,15
dimensionless_ratio_design,gemini-3-flash-preview,lighting,0.7333333333333333,0.6,15
dimensionless_ratio_design,gemini-3-flash-preview,material_color,0.75,0.625,16
dimensionless_ratio_design,gemini-3-flash-preview,none,0.7647058823529411,0.6470588235294118,17
dimensionless_ratio_design,gpt-4o,ambient_noise,0.31481481481481477,0.0,18
dimensionless_ratio_design,gpt-4o,emotional_pressure,0.4126984126984127,0.14285714285714285,21
dimensionless_ratio_design,gpt-4o,lighting,0.375,0.08333333333333333,24
dimensionless_ratio_design,gpt-4o,material_color,0.3333333333333333,0.0,18
dimensionless_ratio_design,gpt-4o,none,0.3333333333333333,0.0,18
dimensionless_ratio_design,gpt-4o-mini,ambient_noise,0.7777777777777778,0.6666666666666666,18
dimensionless_ratio_design,gpt-4o-mini,emotional_pressure,0.8730158730158729,0.8095238095238095,21
dimensionless_ratio_design,gpt-4o-mini,lighting,0.6527777777777778,0.5,24
dimensionless_ratio_design,gpt-4o-mini,material_color,0.7592592592592592,0.6666666666666666,18
dimensionless_ratio_design,gpt-4o-mini,none,0.8148148148148148,0.7222222222222222,18
dimensionless_ratio_design,gpt-5.5,ambient_noise,0.6444444444444444,0.5333333333333333,15
dimensionless_ratio_design,gpt-5.5,emotional_pressure,0.5111111111111111,0.26666666666666666,15
dimensionless_ratio_design,gpt-5.5,lighting,0.5111111111111111,0.26666666666666666,15
dimensionless_ratio_design,gpt-5.5,material_color,0.6666666666666666,0.5,18
dimensionless_ratio_design,gpt-5.5,none,0.47222222222222227,0.25,12
dimensionless_ratio_design,grok-4,ambient_noise,0.619047619047619,0.42857142857142855,14
dimensionless_ratio_design,grok-4,emotional_pressure,0.38461538461538464,0.15384615384615385,13
dimensionless_ratio_design,grok-4,lighting,0.6153846153846154,0.46153846153846156,13
dimensionless_ratio_design,grok-4,material_color,0.28205128205128205,0.0,13
dimensionless_ratio_design,grok-4,none,0.28888888888888886,0.06666666666666667,15
halton_space_filling,claude-opus-4-6,ambient_noise,0.4666666666666667,0.2,15
halton_space_filling,claude-opus-4-6,emotional_pressure,0.5555555555555555,0.3333333333333333,12
halton_space_filling,claude-opus-4-6,lighting,0.6,0.4,15
halton_space_filling,claude-opus-4-6,material_color,0.6,0.4,15
halton_space_filling,claude-opus-4-6,none,0.48717948717948717,0.23076923076923078,13
halton_space_filling,claude-sonnet-4-6-thinking,ambient_noise,0.6,0.4,15
halton_space_filling,claude-sonnet-4-6-thinking,emotional_pressure,0.6666666666666666,0.5,12
halton_space_filling,claude-sonnet-4-6-thinking,lighting,0.4888888888888889,0.26666666666666666,15
halton_space_filling,claude-sonnet-4-6-thinking,material_color,0.4444444444444444,0.2,15
halton_space_filling,claude-sonnet-4-6-thinking,none,0.8333333333333333,0.7857142857142857,14
halton_space_filling,deepseek-v4-pro,emotional_pressure,0.3333333333333333,0.0,1
halton_space_filling,gemini-3-flash-preview,ambient_noise,0.7333333333333333,0.6,15
halton_space_filling,gemini-3-flash-preview,emotional_pressure,0.7777777777777778,0.6666666666666666,15
halton_space_filling,gemini-3-flash-preview,lighting,0.711111111111111,0.6,15
halton_space_filling,gemini-3-flash-preview,material_color,0.6862745098039216,0.5882352941176471,17
halton_space_filling,gemini-3-flash-preview,none,0.6875,0.5625,16
halton_space_filling,gpt-4o,ambient_noise,0.18518518518518517,0.0,18
halton_space_filling,gpt-4o,emotional_pressure,0.22222222222222218,0.0,21
halton_space_filling,gpt-4o,lighting,0.2222222222222222,0.0,24
halton_space_filling,gpt-4o,material_color,0.18518518518518517,0.0,18
halton_space_filling,gpt-4o,none,0.2222222222222222,0.0,18
