strategy,model,noise_label,flip_rate,noisy_accuracy,samples
constraint_boundary_solver,gpt-5.5,ambient_noise,0.4074074074074074,0.7962962962962963,54
constraint_boundary_solver,gpt-5.5,material_color,0.3684210526315789,0.8596491228070176,57
constraint_boundary_solver,grok-4,ambient_noise,0.32653061224489793,0.7755102040816326,49
constraint_boundary_solver,grok-4,emotional_pressure,0.28888888888888886,0.6666666666666666,45
constraint_boundary_solver,grok-4,lighting,0.2708333333333333,0.6875,48
constraint_boundary_solver,grok-4,material_color,0.2641509433962264,0.7169811320754716,53
dimensionless_ratio_design,Kimi-K2-Thinking,emotional_pressure,0.7142857142857143,0.8571428571428571,7
dimensionless_ratio_design,Kimi-K2-Thinking,lighting,0.3333333333333333,1.0,6
dimensionless_ratio_design,Kimi-K2-Thinking,ambient_noise,0.2857142857142857,0.8571428571428571,7
dimensionless_ratio_design,Kimi-K2-Thinking,material_color,0.0,1.0,6
dimensionless_ratio_design,claude-opus-4-6,lighting,0.21568627450980393,0.6078431372549019,51
dimensionless_ratio_design,claude-opus-4-6,ambient_noise,0.18518518518518517,0.5370370370370371,54
dimensionless_ratio_design,claude-opus-4-6,emotional_pressure,0.16666666666666666,0.6041666666666666,48
dimensionless_ratio_design,claude-opus-4-6,material_color,0.14814814814814814,0.5740740740740741,54
dimensionless_ratio_design,claude-sonnet-4-6-thinking,ambient_noise,0.3584905660377358,0.4339622641509434,53
dimensionless_ratio_design,claude-sonnet-4-6-thinking,material_color,0.35185185185185186,0.3148148148148148,54
dimensionless_ratio_design,claude-sonnet-4-6-thinking,lighting,0.3333333333333333,0.43137254901960786,51
dimensionless_ratio_design,claude-sonnet-4-6-thinking,emotional_pressure,0.14583333333333334,0.3125,48
dimensionless_ratio_design,deepseek-v4-pro,ambient_noise,0.7777777777777778,0.6666666666666666,9
dimensionless_ratio_design,deepseek-v4-pro,lighting,0.6,0.7,10
dimensionless_ratio_design,deepseek-v4-pro,material_color,0.5833333333333334,0.5833333333333334,12
dimensionless_ratio_design,deepseek-v4-pro,emotional_pressure,0.5,0.5,10
dimensionless_ratio_design,gemini-3-flash-preview,lighting,0.23529411764705882,0.27450980392156865,51
dimensionless_ratio_design,gemini-3-flash-preview,ambient_noise,0.23076923076923078,0.36538461538461536,52
dimensionless_ratio_design,gemini-3-flash-preview,material_color,0.14545454545454545,0.2909090909090909,55
dimensionless_ratio_design,gemini-3-flash-preview,emotional_pressure,0.11764705882352941,0.23529411764705882,51
dimensionless_ratio_design,gpt-4o,lighting,0.17333333333333334,0.44,75
dimensionless_ratio_design,gpt-4o,emotional_pressure,0.125,0.3611111111111111,72
dimensionless_ratio_design,gpt-4o,material_color,0.05555555555555555,0.4027777777777778,72
dimensionless_ratio_design,gpt-4o,ambient_noise,0.043478260869565216,0.36231884057971014,69
dimensionless_ratio_design,gpt-4o-mini,lighting,0.17333333333333334,0.6133333333333333,75
dimensionless_ratio_design,gpt-4o-mini,emotional_pressure,0.09722222222222222,0.6111111111111112,72
dimensionless_ratio_design,gpt-4o-mini,material_color,0.09722222222222222,0.6111111111111112,72
dimensionless_ratio_design,gpt-4o-mini,ambient_noise,0.043478260869565216,0.6666666666666666,69
dimensionless_ratio_design,gpt-5.5,emotional_pressure,0.47058823529411764,0.47058823529411764,51
dimensionless_ratio_design,gpt-5.5,lighting,0.4117647058823529,0.47058823529411764,51
