model,L1,L2,L3,level_consistency,flip_rate,formula_rate,coordinate_rate,cluster,cognitive_style,boundary_definition
claude-opus-4-6,0.722567287784679,0.5142857142857142,0.528,0.6001899335232669,0.16375677767986097,1.0,0.3646322378716745,3,视觉直觉型,主要边界是描述层级迁移不稳定，进入具体参数后结论一致性下降。
claude-sonnet-4-6-thinking,0.47368421052631576,0.34375,0.04043126684636118,0.5417840375586854,0.3143494807431875,0.5417642466822795,0.03590944574551132,1,噪声敏感型,主要边界出现在无关描述扰动下，数学建模场景更易发生判断翻转。
deepseek-v4-pro,0.5307262569832403,0.6666666666666666,0.75,0.3333333333333333,0.4911387631975867,0.15695067264573992,0.09417040358744394,2,噪声敏感型,主要边界出现在无关描述扰动下，自然语言描述场景更易发生判断翻转。
gemini-3-flash-preview,0.3192307692307692,0.19518072289156627,0.1670886075949367,0.7846153846153846,0.13922394429469903,0.6097744360902255,0.2654135338345865,1,视觉直觉型,整体较稳定，但在数学建模和临界余量场景下仍存在逻辑坍塌风险。
gpt-4o,0.08236994219653179,0.45244956772334294,0.5918032786885246,0.29159318048206934,0.13135782950673078,0.9784569138276553,0.3061122244488978,0,混合稳健型,主要边界是描述层级迁移不稳定，进入自然语言描述后结论一致性下降。
gpt-4o-mini,0.6793650793650794,0.4873015873015873,0.4888888888888889,0.7124579124579125,0.14346618357487922,0.7227777777777777,0.3,3,视觉直觉型,整体较稳定，但在具体参数和临界余量场景下仍存在逻辑坍塌风险。
gpt-5.5,0.6745098039215687,0.4200477326968974,0.39487179487179486,0.5626666666666666,0.38158086556868887,0.7240333586050038,0.20697498104624715,3,噪声敏感型,主要边界出现在无关描述扰动下，数学建模场景更易发生判断翻转。
grok-4,0.6591375770020534,0.46035805626598464,0.5701219512195121,0.495114006514658,0.3274533958156546,0.6384742951907131,0.04311774461028192,2,噪声敏感型,主要边界出现在无关描述扰动下，具体参数场景更易发生判断翻转。
