model,groups_n,self_consistency,fully_divergent_rate,mean_accuracy
claude-opus-4-6,426,0.8497652582159625,0.0,0.5982003129890454
gpt-4o,600,0.8383333333333334,0.0033333333333333335,0.37583333333333335
gemini-3-flash-preview,444,0.8378378378378378,0.0,0.2361111111111111
gpt-4o-mini,600,0.8183333333333334,0.006666666666666667,0.555
claude-sonnet-4-6-thinking,429,0.7832167832167832,0.0,0.30652680652680653
Kimi-K2-Thinking,49,0.7755102040816326,0.0,0.8775510204081632
gpt-5.5,440,0.7522727272727273,0.0,0.5106060606060606
deepseek-v4-pro,71,0.6338028169014085,0.0,0.5868544600938966
grok-4,404,0.6163366336633663,0.012376237623762377,0.5726072607260726
