antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
has_formula=1,uses_coordinate=0,0.750968351440718,0.7749645725082664,0.5326405290505433,0.7092716064913825,0.915231007523014,1.0,-0.04933333839095044,0.7740400749163955,-0.2710955342256205,0.5362373977553738,-0.2919227730011403,0.6982905636991839
uses_coordinate=0,has_formula=1,0.7749645725082664,0.750968351440718,0.5326405290505433,0.6873095209069853,0.915231007523014,1.0,-0.04933333839095044,0.7964158335796452,-0.2915745223710783,0.5362373977553738,-0.25562546327752717,0.6982905636991839
has_formula=1,noise_keyword_hit=none,0.750968351440718,0.7123287671232876,0.5215871516296646,0.6945527739338281,0.9750452403301818,1.0,-0.013349208300709847,0.9418033896775067,-0.09319410000516547,0.5538723916532906,-0.06179273823002604,0.7133904453223517
noise_keyword_hit=none,has_formula=1,0.7123287671232876,0.750968351440718,0.5215871516296646,0.7322281167108754,0.9750452403301818,1.0,-0.013349208300709847,0.9300141803551195,-0.08169908756811559,0.5538723916532906,-0.07525242208474375,0.7133904453223517
uses_coordinate=0,noise_keyword_hit=none,0.7749645725082664,0.7123287671232876,0.5190363722248464,0.6697549676947457,0.9402329354176239,1.0,-0.032993186274192676,0.8710842094085164,-0.22025594670142537,0.5360522977851496,-0.14799463610874083,0.6992010912744286
noise_keyword_hit=none,uses_coordinate=0,0.7123287671232876,0.7749645725082664,0.5190363722248464,0.7286472148541114,0.940232935417624,1.0,-0.032993186274192676,0.8293094444221267,-0.18097793679189061,0.5360522977851496,-0.20582251501646973,0.6992010912744286
has_formula=1 & uses_coordinate=0,noise_keyword_hit=none,0.5326405290505433,0.7123287671232876,0.33500236183278226,0.628946434905995,0.8829440336180315,1.0,-0.04441280954568688,0.7752822232117133,-0.22098196958438712,0.3681478405315614,-0.2898528691363029,0.549619106047162
has_formula=1 & noise_keyword_hit=none,uses_coordinate=0,0.5215871516296646,0.7749645725082664,0.33500236183278226,0.642274950190183,0.8287797571331326,1.0,-0.06920920215570514,0.6290737190794233,-0.30159322573264197,0.34839850658282573,-0.5896388128618445,0.5372779115207894
noise_keyword_hit=none & uses_coordinate=0,has_formula=1,0.5190363722248464,0.750968351440718,0.33500236183278226,0.6454313796869313,0.8594654867261502,1.0,-0.05477752695468158,0.7023510663165788,-0.25371538633064566,0.35829039102758414,-0.42378939530115056,0.545762613984867
noise_keyword_present=0,noise_keyword_hit=none,0.7123287671232876,0.7123287671232876,0.7123287671232876,1.0,1.403846153846154,1.0,0.20491649465190465,inf,0.9999999999999998,1.0,1.0,1.0
noise_keyword_hit=none,noise_keyword_present=0,0.7123287671232876,0.7123287671232876,0.7123287671232876,1.0,1.403846153846154,1.0,0.20491649465190465,inf,0.9999999999999998,1.0,1.0,1.0
noise_keyword_present=0,has_formula=1,0.7123287671232876,0.750968351440718,0.5215871516296646,0.7322281167108754,0.9750452403301818,1.0,-0.013349208300709847,0.9300141803551195,-0.08169908756811559,0.5538723916532906,-0.07525242208474375,0.7133904453223517
has_formula=1,noise_keyword_present=0,0.750968351440718,0.7123287671232876,0.5215871516296646,0.6945527739338281,0.9750452403301818,1.0,-0.013349208300709847,0.9418033896775067,-0.09319410000516547,0.5538723916532906,-0.06179273823002604,0.7133904453223517
noise_keyword_present=0,uses_coordinate=0,0.7123287671232876,0.7749645725082664,0.5190363722248464,0.7286472148541114,0.940232935417624,1.0,-0.032993186274192676,0.8293094444221267,-0.18097793679189061,0.5360522977851496,-0.20582251501646973,0.6992010912744286
uses_coordinate=0,noise_keyword_present=0,0.7749645725082664,0.7123287671232876,0.5190363722248464,0.6697549676947457,0.9402329354176239,1.0,-0.032993186274192676,0.8710842094085164,-0.22025594670142537,0.5360522977851496,-0.14799463610874083,0.6992010912744286
has_formula=1 & noise_keyword_present=0,noise_keyword_hit=none,0.5215871516296646,0.7123287671232876,0.5215871516296646,1.0,1.403846153846154,1.0,0.15004561896195834,inf,0.6013033175355451,0.7322281167108754,1.0,0.8661140583554376
noise_keyword_hit=none & noise_keyword_present=0,has_formula=1,0.7123287671232876,0.750968351440718,0.5215871516296646,0.7322281167108754,0.9750452403301818,1.0,-0.013349208300709847,0.9300141803551195,-0.08169908756811559,0.5538723916532906,-0.07525242208474375,0.7133904453223517
has_formula=1 & noise_keyword_hit=none,noise_keyword_present=0,0.5215871516296646,0.7123287671232876,0.5215871516296646,1.0,1.403846153846154,1.0,0.15004561896195834,inf,0.6013033175355451,0.7322281167108754,1.0,0.8661140583554376
noise_keyword_present=0,has_formula=1 & noise_keyword_hit=none,0.7123287671232876,0.5215871516296646,0.5215871516296646,0.7322281167108754,1.403846153846154,1.0,0.15004561896195834,1.7866433267520205,1.0,0.7322281167108754,0.44029119577105374,0.8661140583554376
has_formula=1,noise_keyword_hit=none & noise_keyword_present=0,0.750968351440718,0.7123287671232876,0.5215871516296646,0.6945527739338281,0.9750452403301818,1.0,-0.013349208300709847,0.9418033896775067,-0.09319410000516547,0.5538723916532906,-0.06179273823002604,0.7133904453223517
noise_keyword_hit=none,has_formula=1 & noise_keyword_present=0,0.7123287671232876,0.5215871516296646,0.5215871516296646,0.7322281167108754,1.403846153846154,1.0,0.15004561896195834,1.7866433267520205,1.0,0.7322281167108754,0.44029119577105374,0.8661140583554376
noise_keyword_present=0 & uses_coordinate=0,noise_keyword_hit=none,0.5190363722248464,0.7123287671232876,0.5190363722248464,1.0,1.403846153846154,1.0,0.14931183310577778,inf,0.5981143193871539,0.7286472148541113,1.0,0.8643236074270557
noise_keyword_hit=none & noise_keyword_present=0,uses_coordinate=0,0.7123287671232876,0.7749645725082664,0.5190363722248464,0.7286472148541114,0.940232935417624,1.0,-0.032993186274192676,0.8293094444221267,-0.18097793679189061,0.5360522977851496,-0.20582251501646973,0.6992010912744286
noise_keyword_hit=none & uses_coordinate=0,noise_keyword_present=0,0.5190363722248464,0.7123287671232876,0.5190363722248464,1.0,1.403846153846154,1.0,0.14931183310577778,inf,0.5981143193871539,0.7286472148541113,1.0,0.8643236074270557
noise_keyword_present=0,noise_keyword_hit=none & uses_coordinate=0,0.7123287671232876,0.5190363722248464,0.5190363722248464,0.7286472148541114,1.403846153846154,1.0,0.14931183310577778,1.7724661551440166,1.0000000000000002,0.7286472148541113,0.4358143329858122,0.8643236074270557
uses_coordinate=0,noise_keyword_hit=none & noise_keyword_present=0,0.7749645725082664,0.7123287671232876,0.5190363722248464,0.6697549676947457,0.9402329354176239,1.0,-0.032993186274192676,0.8710842094085164,-0.22025594670142537,0.5360522977851496,-0.14799463610874083,0.6992010912744286
noise_keyword_hit=none,noise_keyword_present=0 & uses_coordinate=0,0.7123287671232876,0.5190363722248464,0.5190363722248464,0.7286472148541114,1.403846153846154,1.0,0.14931183310577778,1.7724661551440166,1.0000000000000002,0.7286472148541113,0.4358143329858122,0.8643236074270557
has_formula=1 & noise_keyword_present=0,uses_coordinate=0,0.5215871516296646,0.7749645725082664,0.33500236183278226,0.642274950190183,0.8287797571331326,1.0,-0.06920920215570514,0.6290737190794233,-0.30159322573264197,0.34839850658282573,-0.5896388128618445,0.5372779115207894
noise_keyword_present=0 & uses_coordinate=0,has_formula=1,0.5190363722248464,0.750968351440718,0.33500236183278226,0.6454313796869313,0.8594654867261502,1.0,-0.05477752695468158,0.7023510663165788,-0.25371538633064566,0.35829039102758414,-0.42378939530115056,0.545762613984867
has_formula=1 & uses_coordinate=0,noise_keyword_present=0,0.5326405290505433,0.7123287671232876,0.33500236183278226,0.628946434905995,0.8829440336180315,1.0,-0.04441280954568688,0.7752822232117133,-0.22098196958438712,0.3681478405315614,-0.2898528691363029,0.549619106047162
has_formula=1 & noise_keyword_present=0 & uses_coordinate=0,noise_keyword_hit=none,0.33500236183278226,0.7123287671232876,0.33500236183278226,1.0,1.403846153846154,1.0,0.09637054244504697,inf,0.43258985651370946,0.470291777188329,1.0,0.7351458885941645
has_formula=1 & noise_keyword_hit=none & noise_keyword_present=0,uses_coordinate=0,0.5215871516296646,0.7749645725082664,0.33500236183278226,0.642274950190183,0.8287797571331326,1.0,-0.06920920215570514,0.6290737190794233,-0.30159322573264197,0.34839850658282573,-0.5896388128618445,0.5372779115207894
noise_keyword_hit=none & noise_keyword_present=0 & uses_coordinate=0,has_formula=1,0.5190363722248464,0.750968351440718,0.33500236183278226,0.6454313796869313,0.8594654867261502,1.0,-0.05477752695468158,0.7023510663165788,-0.25371538633064566,0.35829039102758414,-0.42378939530115056,0.545762613984867
has_formula=1 & noise_keyword_hit=none & uses_coordinate=0,noise_keyword_present=0,0.33500236183278226,0.7123287671232876,0.33500236183278226,1.0,1.403846153846154,1.0,0.09637054244504697,inf,0.43258985651370946,0.470291777188329,1.0,0.7351458885941645
has_formula=1 & noise_keyword_present=0,noise_keyword_hit=none & uses_coordinate=0,0.5215871516296646,0.5190363722248464,0.33500236183278226,0.642274950190183,1.237437267521494,1.0,0.06427965885183023,1.3445064247831005,0.4010724764748392,0.47476235105101094,0.256232635584971,0.6438531649385572
noise_keyword_present=0 & uses_coordinate=0,has_formula=1 & noise_keyword_hit=none,0.5190363722248464,0.5215871516296646,0.33500236183278226,0.6454313796869313,1.237437267521494,1.0,0.06427965885183023,1.3492814111635645,0.3989453979313662,0.47476235105101094,0.2588647618456098,0.6438531649385572
has_formula=1 & uses_coordinate=0,noise_keyword_hit=none & noise_keyword_present=0,0.5326405290505433,0.7123287671232876,0.33500236183278226,0.628946434905995,0.8829440336180315,1.0,-0.04441280954568688,0.7752822232117133,-0.22098196958438712,0.3681478405315614,-0.2898528691363029,0.549619106047162
has_formula=1 & noise_keyword_hit=none,noise_keyword_present=0 & uses_coordinate=0,0.5215871516296646,0.5190363722248464,0.33500236183278226,0.642274950190183,1.237437267521494,1.0,0.06427965885183023,1.3445064247831005,0.4010724764748392,0.47476235105101094,0.256232635584971,0.6438531649385572
noise_keyword_hit=none & uses_coordinate=0,has_formula=1 & noise_keyword_present=0,0.5190363722248464,0.5215871516296646,0.33500236183278226,0.6454313796869313,1.237437267521494,1.0,0.06427965885183023,1.3492814111635645,0.3989453979313662,0.47476235105101094,0.2588647618456098,0.6438531649385572
is_correct=0,uses_coordinate=0,0.5446386395843175,0.7749645725082664,0.4457250826641474,0.8183868169991327,1.0560312639200073,1.0,0.023649432167203,1.2390919192835188,0.11651919285019481,0.5100540540540541,0.1929573710897648,0.6967711239695165
noise_keyword_present=0,is_correct=0,0.7123287671232876,0.5446386395843175,0.42890883325460555,0.6021220159151194,1.105544065648142,1.0,0.040947062591804084,1.1444748858447489,0.33186490455212897,0.517969195664575,0.12623683370571334,0.6948164285993637
is_correct=0,noise_keyword_present=0,0.5446386395843175,0.7123287671232876,0.42890883325460555,0.7875108412836079,1.105544065648142,1.0,0.040947062591804084,1.3538160469667317,0.2096532436434093,0.517969195664575,0.2613472101763515,0.6948164285993637
